Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
npcSoldierEmptyHand,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierClub,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierKnife,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierAxe,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBat,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierMachete,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierSMG,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierM60,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierPistol,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierDPistol,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierAK47,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierTRifle,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierSRifle,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierPShotgun,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierAShotgun,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierRocketL,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBEmptyHand,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBClub,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBKnife,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBAxe,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBBat,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBMachete,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBSMG,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBM60,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBPistol,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBDPistol,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBAK47,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBTRifle,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBSRifle,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBPShotgun,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBAShotgun,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierBRocketL,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWEmptyHand,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
npcSoldierWClub,entityclasses,Entity,,,National Guardsman,,,,,,,,,,,,,
