Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text

attbasicbenefits,progression,Attribute,,,Basic Benefits,
attBasicBenefitsName,progression,Attribute,,,[FFB400]Basic Benefits[-],
attBasicBenefitsDesc,progression,Attribute,,,"These basic perks will help you get started and provide you with a small boost helping you survive.",
attBasicBenefitsRank1Desc,progression,Attribute,,,"These basic perks will help you get started and provide you with a small boost helping you survive.",
attClassLevelRank1Desc,progression,Attribute,,,Level [FF0000]One[-],
attClassLevelRank2Desc,progression,Attribute,,,Level [FF0000]Two[-],
attClassLevelRank3Desc,progression,Attribute,,,Level [FF0000]Three[-],
attadvbenefits,progression,Attribute,,,Advanced Benefits,
attAdvBenefitsName,progression,Attribute,,,[FFB400]Advanced Benefits[-],
attAdvBenefitsDesc,progression,Attribute,,,At higher levels these perks will unlock offering you better benefits that will help you survive the apocalypse,
attAdvBenefitsRank1Desc,progression,Attribute,,,At higher levels these perks will unlock offering you better benefits that will help you survive the apocalypse,
attclassbartermaster,progression,Attribute,,,Barter Class,
attClassBarterMasterName,progression,Attribute,,,[FFB400]Class: Barter[-],
attClassBarterMasterDesc,progression,Attribute,,,"The [FFB400]Barter Class[-] specializes in dealing with traders and getting better quest rewards.  [FFB400]Exclusive[-] access to recipes such as the player vending machine, slot machine and investment bank.",
attClassBarterMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]barter class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassBarterMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]barter class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassBarterMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]barter class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclassbuildermaster,progression,Attribute,,,Builder Class,
attClassBuilderMasterName,progression,Attribute,,,[FFB400]Class: Builder[-],
attClassBuilderMasterDesc,progression,Attribute,,,"The [FFB400]Builder Class[-] specializes in building recipes, construction efficiency and workstation expertise.  [FFB400]Exclusive[-] access to recipes such as cobblestone, concrete, portland concrete construction, repair tools, builder workstation and cement mixer.",
attClassBuilderMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]builder class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassBuilderMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]builder class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassBuilderMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]builder class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclasscovertmaster,progression,Attribute,,,Covert Class,
attClassCovertMasterName,progression,Attribute,,,[FFB400]Class: Covert[-],
attClassCovertMasterDesc,progression,Attribute,,,"The [FFB400]Covert Class[-] specializes in archery, stealth and athletic abilities.  [FFB400]Exclusive[-] access to recipes for crafting bows/crossbows.",
attClassCovertMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]covert class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassCovertMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]covert class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassCovertMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]covert class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclassfightermaster,progression,Attribute,,,Fighter Class,
attClassFighterMasterName,progression,Attribute,,,[FFB400]Class: Fighter[-],
attClassFighterMasterDesc,progression,Attribute,,,"The [FFB400]Fighter Class[-] specializes in fist and spear fighting as well in demolitions.  [FFB400]Exclusive[-] access to recipes for crafting knuckles, spears and explosives.",
attClassFighterMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]fighter class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassFighterMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]fighter class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassFighterMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]fighter class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclasshuntermaster,progression,Attribute,,,Hunter Class,
attClassHunterMasterName,progression,Attribute,,,[FFB400]Class: Hunter[-],
attClassHunterMasterDesc,progression,Attribute,,,"The [FFB400]Hunter Class[-] specializes in light armour, tracking animals/zombies and more efficient animal harvesting.  [FFB400]Exclusive[-] access to recipes for crafting light armour.",
attClassHunterMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]hunter class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassHunterMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]hunter class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassHunterMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]hunter class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclasslootermaster,progression,Attribute,,,Looter Class,
attClassLooterMasterName,progression,Attribute,,,[FFB400]Class: Looter[-],
attClassLooterMasterDesc,progression,Attribute,,,"The [FFB400]Looter Class[-] specializes in scavenging the wasteland finding the best loot.  With capabilities of holding more items and expertise at treasure hunting.  [FFB400]Exclusive[-] access to recipes for crafting pocket mods and drop boxes.",
attClassLooterMasterRank1LongDesc,progression,Attribute,,,"Unlocks level one [FFB400]looter class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassLooterMasterRank2LongDesc,progression,Attribute,,,"Unlocks level two [FFB400]looter class[-] perks once you have gained a level from completing 1 of the challenges in the classes tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>][-].  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attClassLooterMasterRank3LongDesc,progression,Attribute,,,"Unlocks level three [FFB400]looter class[-] perks once you have gained a level from completing all of the class challenges in the third tab of your [FFB400]challenge window [Default Key <[FF0000]Y[-]>[-] and then finishing the quest you gained upon completion of final challenge.  Player level requirements may also need to be met, scroll over to the lock icon of a perk to see what is required to unlock",
attclassmedicmaster,progression,Attribute,,,Medic Class,
attClassMedicMasterName,progression,Attribute,,,[FFB400]Class: Medic[-],
attClassMedicMasterDesc,progression,Attribute,,,"The [FFB400]Medic Class[-] specializes in pain tolerance and healing capabilities.  [FFB400]Exclusive[-] access to recipes for crafting a health deploy.",
